YOR224C	YJL140W
YMR186W	YDR099W
YDL078C	YAL001C
YNR003C	YPR190C
YLR386W	YDL019C
YDR482C	YLR117C
YER127W	YGR145W
YDR168W	YDR463W
YNL168C	YMR314W
YDR174W	YNL189W
YGL207W	YFR024C
YJL109C	YDR381W
YOR368W	YGL106W
YGL213C	YAL029C
YDR075W	YML105C
YDL007W	YLR421C
YLR371W	YGR090W
YMR031C	YEL026W
YGR103W	YNR031C
YIL021W	YJL138C
YBR065C	YDR429C
YDL055C	YHR103W
YOR046C	YNL330C
YDR510W	YLR064W
YDL147W	YDR108W
YMR116C	YML085C
YPL022W	YDR159W
YMR304W	YDR472W
YGR103W	YKR081C
YNL071W	YER178W
YDL043C	YJR050W
YLL010C	YOR043W
YDR069C	YKL028W
YLR330W	YDR116C
YBR066C	YCR082W
YJR010C-A	YER145C
YPR062W	YLL055W
YMR075W	YMR186W
YOL109W	YJL123C
YNR046W	YML014W
YDR005C	YPR187W
YML058W	YJL056C
YDR054C	YDL132W
YPL018W	YPR046W
YJL138C	YGL026C
YPR161C	YPL119C
YPR190C	YPL191C
YDR190C	YHR034C
YOR159C	YNL147W
YML071C	YGL106W
YER091C	YER167W
YJR140C	YBR009C
YKR048C	YML069W
YPR161C	YGR285C
YHL034C	YCL011C
YJL109C	YOR294W
YER164W	YLR175W
YAL051W	YLR197W
YMR108W	YDL065C
YGR211W	YFL008W
YKR079C	YBR142W
YPR074C	YJR033C
YIL063C	YGL245W
YDR280W	YGR195W
YMR186W	YEL070W
YNL236W	YBL093C
YMR108W	YPL247C
YBR009C	YOL054W
YFR037C	YPR034W
YER071C	YDR429C
YAR071W	YDR155C
YBR253W	YHR041C
YMR173W	YLR150W
YDL036C	YDL097C
YFL013C	YGR086C
YGR278W	YNL209W
YLR060W	YFL022C
YAL021C	YCR093W
YDR087C	YLR249W
YDR101C	YMR163C
YNL041C	YBL002W
YLR438C-A	YKL173W
YDL147W	YMR191W
YNL186W	YBR039W
YOR046C	YPL004C
YPR168W	YBL058W
YLR244C	YDR381W
YOL021C	YBR154C
YJL033W	YGL106W
YER162C	YFL037W
YML102W	YFL041W
YDR074W	YMR261C
YJL050W	YOR212W
YKL160W	YMR128W
YAR002W	YGR067C
YLR203C	YDR109C
YOL068C	YBR059C
YCR052W	YKR008W
YOR144C	YBL003C
YCR059C	YPR080W
YMR304W	YER132C
YDR457W	YMR186W
YHR041C	YDL005C
YCL024W	YJL082W
YNL186W	YGL173C
YOL068C	YMR031C
YDL055C	YAL063C
YIL035C	YDL007W
YNL153C	YLR026C
YGL120C	YOL063C
YLR438C-A	YGR180C
YGR196C	YIL035C
YOR078W	YLR197W
YMR239C	YLR407W
YJL110C	YPL004C
YBR159W	YJL072C
YGR278W	YKL173W
YJL148W	YPR187W
YDR128W	YBL075C
YBR010W	YGL097W
YLR218C	YNL082W
YMR288W	YPL213W
YDL043C	YBR009C
YBR060C	YMR233W
YGL150C	YPL048W
YLR052W	YBL075C
YPL032C	YIL070C
YFR037C	YHR091C
YNL049C	YKR092C
YGR272C	YDL014W
YLR178C	YNL009W
YGL066W	YMR186W
YLR015W	YNL154C
YLR039C	YIL047C
YLR022C	YOR326W
YIL021W	YHR143W-A
YBL074C	YCR030C
YIR003W	YLR216C
YDR310C	YOR279C
YGR086C	YMR086W
YBR130C	YAL029C
YLR187W	YBL079W
YPR110C	YAL061W
YPL001W	YKL057C
YMR304W	YEL026W
YNL186W	YFR023W
YKL160W	YHL034C
YPL220W	YNL308C
YDR097C	YCR089W
YGL120C	YDR381W
YKL022C	YDR388W
YPL260W	YOL139C
YBL039C	YNL209W
YPR108W	YKL173W
YJR135C	YMR120C
YKR062W	YHR013C
YAL016W	YPL152W
YLL022C	YNL134C
YOR342C	YGR179C
YKL191W	YLR043C
YJR017C	YDL140C
YMR186W	YLL026W
YDL115C	YIL021W
YLR435W	YKR092C
YDR054C	YCR026C
YFR004W	YAL034C
YMR236W	YLR055C
YLR006C	YHR121W
YOR051C	YKL142W
YOR261C	YOR027W
YMR010W	YOR233W
YLR179C	YAL047C
YMR258C	YKR014C
YMR284W	YGR180C
YNR034W	YDR099W
YJL168C	YDL199C
YLL022C	YGL086W
YOL145C	YOR039W
YLL029W	YDR098C
YPL245W	YGL245W
YPR090W	YLR262C-A
YDL216C	YDR179C
YOL069W	YMR117C
YGR245C	YDL092W
YDR240C	YDL215C
YMR227C	YMR236W
YIL034C	YLR171W
YJR043C	YIL152W
YPR180W	YDR510W
YKR018C	YLL053C
YJL168C	YLR113W
YLR058C	YOL054W
YPL208W	YJR110W
YBR079C	YLR192C
YLR262C	YMR049C
YER095W	YML032C
YOR238W	YHR156C
YIL043C	YLR150W
YPL002C	YJR102C
YBR072W	YOR159C
YIL070C	YDR041W
YBR060C	YML065W
YNL136W	YER055C
YOR361C	YMR146C
YMR304W	YLR347C
YGL048C	YOR261C
YKL113C	YDR174W
YIL035C	YNL149C
YLR027C	YLL061W
YPR161C	YJL052W
YDL225W	YCL014W
YAL051W	YOR310C
YNL262W	YJR045C
YCR077C	YNL147W
YMR128W	YNR046W
YDR101C	YPL145C
YIL076W	YPL127C
YGL061C	YKR037C
YKR048C	YDR381W
YLL034C	YNL271C
YJL137C	YFR015C
YJL033W	YDL029W
YOR144C	YAR010C
YBR082C	YKL010C
YEL056W	YLL022C
YGL227W	YIL097W
YJR089W	YGL207W
YGL157W	YMR034C
YER159C	YBR072W
YER031C	YER136W
YDR074W	YKR001C
YPL001W	YER131W
YLR258W	YHR047C
YBR221C	YJL131C
YLR299W	YDR155C
YIL043C	YDR381W
YDR362C	YCL069W
YGR103W	YDR335W
YIL112W	YKR029C
YDR240C	YLR275W
YER164W	YOR061W
YKL028W	YAL062W
YBR154C	YDR156W
YFL007W	YHR064C
YKL191W	YMR186W
YBL032W	YLR175W
YLR231C	YBL062W
YFR052W	YHR102W
YGL127C	YLR290C
YKL117W	YOR262W
YIL148W	YDR192C
YPR073C	YLL050C
YKL191W	YCL050C
YKL160W	YCL054W
YGL048C	YPR108W
YDR234W	YGR086C
YKR083C	YMR075C-A
YNL031C	YOL054W
YDL060W	YDR174W
YLR410W	YKR048C
YER086W	YLR150W
YHR089C	YNL308C
YJR014W	YJR002W
YPL183C	YGR285C
YFR031C	YBR139W
YLR072W	YLR249W
YIL061C	YLR298C
YKL075C	YOR091W
YEL018W	YDR381W
YKL142W	YJL129C
YPR161C	YKL023W
YGR090W	YDR174W
YKL117W	YMR173W
YKL018W	YLR429W
YLR435W	YBR112C
YPL240C	YLL029W
YHR204W	YDL085W
YLR381W	YPL048W
YER149C	YGR285C
YPL001W	YOR070C
YOR051C	YBL009W
YGL167C	YAR010C
YPR168W	YDL005C
YJL102W	YDR388W
YIL043C	YLR075W
YDL240W	YDR174W
YGL066W	YLR249W
YBR253W	YIL068C
YOL126C	YMR086W
YKL206C	YGR253C
YGL203C	YDL053C
YDL097C	YJL109C
YJR104C	YHL035C
YPR101W	YOR159C
YBR065C	YPL240C
YOR361C	YER025W
YDR363W	YBL003C
YML056C	YPL217C
YLR203C	YGL106W
YPL254W	YPL222W
YOL159C-A	YNL091W
YJL128C	YEL026W
YFR044C	YIL056W
YLR321C	YMR091C
YPR161C	YMR072W
YNL186W	YDR211W
YBR065C	YMR309C
YER162C	YDL014W
YIL156W	YJR147W
YJR082C	YBR239C
YMR282C	YDR099W
YNL307C	YOR290C
YGR245C	YCL064C
YCR020W-B	YDL147W
YNL136W	YHR099W
YDR101C	YJL122W
YCL024W	YMR132C
YNL004W	YHR167W
YBR247C	YBL003C
YPL209C	YDL053C
YJL065C	YML062C
YOR249C	YLR127C
YDL040C	YOR253W
YLR022C	YLR197W
YLR175W	YHL009W-A
YDR075W	YDR293C
YPL247C	YLR418C
YLR433C	YDR293C
YMR180C	YMR304W
YDR138W	YBL005W
YAL027W	YPR169W
YCR060W	YDR087C
YDR225W	YDR310C
YGR278W	YLR147C
YNL262W	YGR209C
YNL312W	YJR140C
YKL135C	YLR455W
YDR385W	YCL050C
YLR398C	YEL026W
YLR429W	YPL004C
YBR231C	YJL081C
YKR010C	YDL199C
YDR463W	YBL003C
YBR010W	YOL027C
YNL031C	YMR308C
YPR107C	YKR002W
YHR063C	YGR126W
YNR051C	YLR197W
YPL240C	YNL233W
YDL056W	YMR063W
YOR144C	YNL106C
YHL004W	YPR025C
YLR455W	YLR150W
YGR262C	YDL035C
YOR361C	YJR007W
YDR457W	YHR193C
YAL027W	YDR412W
YPR164W	YDR174W
YMR180C	YHR160C
YER070W	YBR127C
YBL035C	YNL102W
YBR058C	YOR329C
YPL207W	YDR388W
YGL167C	YBR085W
YLR347C	YOL021C
YGL207W	YOR123C
YPR161C	YJR045C
YIL076W	YBL003C
YGR056W	YMR033W
YDL002C	YGL150C
YOR144C	YBR087W
YOL059W	YML105C
YGL106W	YGR130C
YDL145C	YPL219W
YNR033W	YDR087C
YHR089C	YMR310C
YPL069C	YJR009C
YNL186W	YFR009W
YNL136W	YBR010W
YJL062W-A	YPR080W
YMR075W	YAL029C
YMR273C	YGL190C
YDR362C	YPL037C
YFR015C	YMR317W
YKR048C	YML070W
YMR186W	YBR039W
YDL101C	YIL022W
YBR066C	YKR015C
YKL210W	YDR415C
YPL133C	YBL058W
YCR008W	YDR388W
YNL209W	YML069W
YGR063C	YOR061W
YLR189C	YDR388W
YNL186W	YPL153C
YBR223C	YGL082W
YBR009C	YLL022C
YBR135W	YJL138C
YPR161C	YNL308C
YMR237W	YLR398C
YPR161C	YJL076W
YHL034C	YGR054W
YBR107C	YPR046W
YNL250W	YKL056C
YLR127C	YDR118W
YLR203C	YOR294W
YPR178W	YOR287C
YDL147W	YBR245C
YCR020W-B	YAL062W
YDL134C	YKL172W
YLR381W	YLR315W
YER151C	YMR118C
YDR054C	YML014W
YBR279W	YGR239C
YJL080C	YKR059W
YGL011C	YGR097W
YKR092C	YLR197W
YGL240W	YKL022C
YDR409W	YGR126W
YBR212W	YNL135C
YGR086C	YGR237C
YML010W	YNL312W
YAL051W	YCR087C-A
YIL035C	YBR088C
YOL021C	YPR110C
YGL213C	YNL308C
YPR110C	YCR093W
YMR140W	YPL037C
YBR030W	YGL106W
YCR077C	YGL056C
YMR019W	YKR078W
YHR090C	YDR359C
YJR084W	YGR126W
YOR304C-A	YGL061C
YLR354C	YPL236C
YOR243C	YDL151C
YDR054C	YOR210W
YGL124C	YIL036W
YDR347W	YDR175C
YKR024C	YGL094C
YAR007C	YFL014W
YLR455W	YOL077C
YMR304W	YLR197W
YOL126C	YCL030C
YNR007C	YLL003W
YJL109C	YPL012W
YOR124C	YER125W
YDR165W	YFR053C
YGR048W	YBR170C
YBL039C	YOR113W
YLL027W	YKL040C
YJL063C	YJR113C
YBL071W-A	YKL191W
YER021W	YOR259C
YPR161C	YIR001C
YLR085C	YLR058C
YML016C	YDR436W
YIL148W	YGR240C
YOL068C	YCR033W
YPL183C	YHR099W
YDR174W	YMR025W
YLR435W	YNL230C
YLR085C	YGL252C
YGR084C	YHR061C
YDL019C	YGL092W
YML131W	YAR010C
YIL017C	YIL097W
YLR231C	YCL040W
YCR008W	YOR326W
YDR430C	YLR120C
YDL188C	YMR273C
YNL147W	YDL160C
YBR072W	YBR127C
YDL060W	YJL129C
YML056C	YNL287W
YCL057W	YPR002W
YHL032C	YDR388W
YJL124C	YBL026W
YOR361C	YNL233W
YMR109W	YGL242C
YJL157C	YCR104W
YDL043C	YLR117C
YDL182W	YKR048C
YDR325W	YFR031C
YNL138W	YPL207W
YMR282C	YFR053C
YDR365C	YGR050C
YKR008W	YMR091C
YAR002W	YLR347C
YDL019C	YHR208W
YOR157C	YJL137C
YDR172W	YGR264C
YPR108W	YDR484W
YFL023W	YNL233W
YBR010W	YNL054W
YPL040C	YGL106W
YGL070C	YHR029C
YEL037C	YDR394W
YKL023W	YDR381W
YMR304W	YLR436C
YJL115W	YBL079W
YKR086W	YLR175W
YML041C	YAL029C
YJL047C	YBL084C
YNR053C	YPL093W
YMR268C	YER146W
YJL033W	YHR196W
YFL013C	YPL129W
YGR075C	YBR055C
YDL060W	YPL146C
YMR075W	YBL003C
YDR036C	YPL137C
YDR054C	YOL133W
YPR108W	YBR069C
YPR108W	YKL145W
YJL138C	YDR156W
YER164W	YOR039W
YGR245C	YIL070C
YHR013C	YKR048C
YER029C	YPR182W
YML071C	YOR326W
YDL226C	YPL216W
YPL139C	YAL013W
YLR455W	YLR196W
YIL061C	YPR182W
YLR144C	YER032W
YNL186W	YBR169C
YDR101C	YMR308C
YDL070W	YDR381W
YBR107C	YBR211C
YNL250W	YHR183W
YMR044W	YDR174W
YBL071W-A	YAL020C
YMR227C	YML031W
YER050C	YJR113C
YCR082W	YFL008W
YPL004C	YKL048C
YBR049C	YER007W
YDR234W	YHR064C
YDR207C	YBL003C
YOR157C	YDL209C
YBR058C	YMR108W
YBR173C	YBL039C
YCL040W	YFL013C
YDL182W	YMR031C
YAL001C	YDR155C
YPR187W	YOR151C
YER095W	YDR308C
YLR002C	YHR065C
YKL028W	YNL054W
YNL186W	YPL240C
YMR239C	YJL034W
YOR261C	YOL017W
YOL010W	YDL126C
YPR161C	YOL041C
YGL207W	YJL130C
YBL017C	YMR229C
YNL088W	YNL232W
YNL238W	YOL031C
YDL108W	YML024W
YDL042C	YNL113W
YGL112C	YBL002W
YER147C	YGR090W
YGL106W	YOL139C
YMR223W	YGL066W
YMR091C	YJR002W
YBL071W-A	YDR388W
YGR084C	YNL175C
YGL005C	YGL223C
YHR012W	YJL053W
YDR392W	YGL112C
YFL014W	YBR109C
YNL261W	YEL056W
YBL038W	YGR093W
YIL051C	YDL137W
YER023W	YJR045C
YLR258W	YPR105C
YOL117W	YMR277W
YER105C	YPL004C
YDR054C	YAL026C
YOL059W	YLR150W
YLR336C	YGR285C
YCR087C-A	YBL003C
YGR245C	YHR016C
YEL018W	YOR244W
YBR172C	YHR121W
YPL047W	YHR099W
YPL047W	YDR167W
YFR015C	YAL048C
YER164W	YHR089C
YNL325C	YOR336W
YDR054C	YJL047C
YMR109W	YBR123C
YOL010W	YLR216C
YPR164W	YER044C-A
YNL168C	YEL013W
YER155C	YDL143W
YIR001C	YMR198W
YGL197W	YLR310C
YLR144C	YGL106W
YNL134C	YPR010C
YAR002W	YNL189W
YNR051C	YDR415C
YPL009C	YCR016W
YPL090C	YER122C
YLR033W	YGL207W
YBR079C	YCR087C-A
YLR069C	YAL047C
YNL041C	YDL151C
YER022W	YNL278W
YPL144W	YOR198C
YEL037C	YDL171C
YIL156W	YDL215C
YOR213C	YDR381W
YDL126C	YCR011C
YDR111C	YDR087C
YBR010W	YLL022C
YIL097W	YDL176W
YER070W	YJL052W
YNL151C	YOR207C
YEL001C	YLR429W
YGR123C	YCR054C
YGL057C	YBR045C
YBR058C	YIL116W
YOR270C	YOR112W
YDL055C	YKL004W
YJL033W	YLR388W
YLR320W	YBR010W
YLR262C	YHR027C
YKL035W	YGR090W
YOL076W	YLR221C
YHL014C	YLR249W
YMR048W	YML085C
YDR101C	YER006W
YOL068C	YDR310C
YOR361C	YPR041W
YPL074W	YGL245W
YOL097C	YIL062C
YNL287W	YPR007C
YER086W	YJR009C
YCR084C	YDL126C
YCL011C	YNL253W
YKR018C	YDL022W
YMR223W	YOR092W
YNL206C	YGL253W
YGR180C	YAL056C-A
YIL035C	YEL077C
YDL044C	YDR400W
YPL181W	YPL139C
YHL002W	YEL023C
YPR161C	YDL156W
YGL112C	YBL003C
YHL008C	YDR304C
YDR240C	YFL027C
YML056C	YPR154W
YPL001W	YHR119W
YOR124C	YEL058W
YOR144C	YLR002C
YPL263C	YFR024C
YDR330W	YGR048W
YLR244C	YLR147C
YML070W	YOL058W
YHR118C	YDR381W
YJR094W-A	YDR087C
YML056C	YLL056C
YPL051W	YPR080W
YJL098W	YDL215C
YPL004C	YKL142W
YNL189W	YNL321W
YDL019C	YER162C
YOL013C	YER091C
YPR025C	YDR311W
YFR010W	YGL048C
YLR015W	YGR217W
YHR052W	YDR381W
YKL210W	YBL085W
YGR250C	YDR388W
YBR234C	YLR429W
YFL024C	YJL081C
YGR090W	YKR081C
YLR231C	YLL050C
YOR359W	YLR150W
YJR082C	YLR150W
YJL033W	YOR310C
YBL076C	YMR207C
YHR161C	YEL026W
YFL013C	YLR262C-A
YPL117C	YPL226W
YGR047C	YOR110W
YOR290C	YPL016W
YDL055C	YJR138W
YJR065C	YLR429W
YGR002C	YDR334W
YDR505C	YDR099W
YEL037C	YNL138W
YGL150C	YDR190C
YLR015W	YDR160W
YDR353W	YKR014C
YJL107C	YOR265W
YJL164C	YIL033C
YOL068C	YOR294W
YEL055C	YDL014W
YBR247C	YKL109W
YPR161C	YKR028W
YMR120C	YKR048C
YKL035W	YDL014W
YPL028W	YBR011C
YPR029C	YMR229C
YIL103W	YBR196C
YLR005W	YPR056W
YLR175W	YJR140C
YDL126C	YDL215C
YLR015W	YOR326W
YBR065C	YPR080W
YNL041C	YLR249W
YKR098C	YGL180W
YNL247W	YHR193C
YCR030C	YBL047C
YBL002W	YOL012C
YDR225W	YNL201C
YJL095W	YJL080C
YCR077C	YKL081W
YLR362W	YNL262W
YNL209W	YGR068C
YNR016C	YCL064C
YOR386W	YEL056W
YAL016W	YNL209W
YNL153C	YJL179W
YDR515W	YLL036C
YBR195C	YBR088C
YFL023W	YDR385W
YMR228W	YJR106W
YMR031C	YHR121W
YPR074C	YDR238C
YAL001C	YDL014W
YPR184W	YML078W
YDR167W	YOL148C
YKL018W	YKR092C
YCR009C	YLR429W
YER164W	YNL308C
YPL001W	YBR125C
YFL002C	YMR097C
YDL078C	YDR304C
YAL007C	YNL055C
YOR310C	YOR371C
YER091C	YEL061C
YKL129C	YBR109C
YLR175W	YEL003W
YDR462W	YNL284C
YIL161W	YDR381W
YCR081W	YPL042C
YPL066W	YLR425W
YNR051C	YPR175W
YJR041C	YKL214C
YLR196W	YIL035C
YNL317W	YDR195W
YMR290W-A	YER110C
YDR054C	YJL068C
YGL122C	YKL186C
YOL145C	YJL115W
YLR176C	YDR099W
YDR419W	YEL026W
YDL047W	YLR097C
YJR063W	YPR187W
YLR258W	YJL005W
YGL070C	YPL090C
YLR175W	YDL014W
YDR172W	YLR109W
YEL019C	YLR383W
YOR260W	YJR007W
YKR059W	YOR287C
YDR314C	YKL007W
YJL087C	YBL003C
YHR127W	YKL067W
YBR149W	YJL034W
YDR152W	YAL062W
YGR250C	YBR039W
YDR172W	YNL233W
YCR071C	YDR116C
YMR044W	YMR072W
YGL207W	YGL078C
YAL007C	YGL055W
YDR044W	YGR087C
YLR375W	YML059C
YLL004W	YBL003C
YNL045W	YDR026C
YDR385W	YDL014W
YNL247W	YAL017W
YJL173C	YLR087C
YIL103W	YOR133W
YGR185C	YBL036C
YPL144W	YMR004W
YNL045W	YKL029C
YGR237C	YAR010C
YPL001W	YBL003C
YIL021W	YOR224C
YIL162W	YHR087W
YGL173C	YDL121C
YNL102W	YBR248C
YLR410W	YDR170C
YLR330W	YMR008C
YOR124C	YLL029W
YHL004W	YBR079C
YJR094W-A	YLR150W
YDL043C	YBL005W-A
YDL002C	YOR141C
YAR044W	YDL040C
YKL112W	YCR067C
YBR251W	YDR347W
YLR082C	YDL215C
YBR155W	YNL209W
YPR161C	YCR028C-A
YPL001W	YER164W
YMR093W	YPL126W
YIL103W	YEL037C
YNL041C	YOR335C
YJR099W	YKL104C
YGL120C	YHR089C
YIL148W	YLR320W
YPL203W	YBR274W
YJL081C	YNL107W
YDR295C	YBL058W
YDR054C	YHR138C
YNL088W	YIL015W
YPL240C	YGL105W
YGL127C	YDL005C
YNL168C	YIL070C
YLR320W	YBL002W
YJR070C	YOR372C
YGR002C	YLR399C
YMR304W	YOR124C
YNL005C	YML025C
YNR011C	YOR159C
YDR293C	YDR422C
YBR058C	YDL182W
YDR234W	YGL245W
YPL066W	YBR011C
YJL180C	YJR121W
YLR117C	YGR129W
YFL013C	YBL106C
YLR409C	YOR348C
YMR259C	YGR108W
YBR218C	YBR109C
YDR515W	YDL030W
YGR090W	YIL035C
YML126C	YCR053W
YJR032W	YOL068C
YDR172W	YHR165C
YGR264C	YDL122W
YHR066W	YMR229C
YDL131W	YEL023C
YJL050W	YGR162W
YNR053C	YLR075W
YLL022C	YDL053C
YNL031C	YDR320C
YGR123C	YOR093C
YGR161C	YJL098W
YIL161W	YNL135C
YDR502C	YLR256W
YGL070C	YCR009C
YIL103W	YLR150W
YFR015C	YML117W
YPR161C	YGR086C
YDR288W	YPL146C
YJL095W	YNL209W
YJR052W	YPL046C
YHR089C	YCL059C
YDR120C	YLR309C
YBR160W	YLR187W
YDL003W	YLL023C
YPR144C	YCR058C
YOR035C	YGR086C
YGR198W	YER110C
YKR038C	YER064C
YNL067W	YLR432W
YBL103C	YJL052W
YMR304W	YDR204W
YJL047C	YBL088C
YLR002C	YKR081C
YOR014W	YKR059W
YGL120C	YLR206W
YDL019C	YJR009C
YJL107C	YJR091C
YIL103W	YDL014W
YML011C	YIL090W
YBR088C	YMR232W
YJL128C	YEL034W
YDR444W	YEL034W
YDR054C	YKL098W
YDL182W	YKL089W
YKL104C	YMR213W
YML058W	YKL037W
YLR435W	YLR167W
YFL013C	YDL141W
YBL003C	YJL034W
YFL006W	YFR024C
YMR280C	YDR365C
YDL097C	YLR347C
YNL255C	YIL076W
YMR276W	YFR053C
YDR054C	YOR138C
YML056C	YJL052W
YLR336C	YBR245C
YIL148W	YOR001W
YIL043C	YLR342W
YMR186W	YGR086C
YJL070C	YKL194C
YNL051W	YGL223C
YOR243C	YGL205W
YBR009C	YCL040W
YNL186W	YDR032C
YEL016C	YBR034C
YDR430C	YLR375W
YJR082C	YHR121W
YDR172W	YDR537C
YIL148W	YLR058C
YLR455W	YIL148W
YJL062W-A	YMR186W
YFR004W	YOR259C
YGL120C	YGL128C
YKR037C	YKL138C-A
YLR455W	YOR294W
YGL120C	YDL014W
YNL293W	YGR126W
YML092C	YMR314W
YDL208W	YCL059C
YER025W	YOR260W
YMR128W	YOR206W
YPL047W	YDR141C
YMR276W	YNL268W
YGR278W	YLL036C
YDR496C	YMR229C
YDR171W	YPR035W
YDR279W	YLR154C
YDR457W	YJR056C
YGL099W	YHL034C
YBR058C	YLR226W
YGR119C	YJL041W
YFL013C	YDR190C
YJL098W	YCL031C
YIL063C	YHR064C
YKL104C	YJR121W
YBR010W	YKL010C
YOL021C	YOR224C
YCR009C	YLR305C
YNL088W	YNL209W
YPL212C	YLR148W
YGL173C	YGL151W
YHR041C	YBR193C
YLR398C	YML056C
YKL104C	YJL052W
YHL034C	YDR322W
YMR258C	YDR328C
YLR197W	YOR310C
YLR085C	YER168C
YGR056W	YMR091C
YNL031C	YBR109C
YOR261C	YOR259C
YPL240C	YPR189W
YBL093C	YPR168W
YDR427W	YBR080C
YPR173C	YLL026W
YDR234W	YIL070C
YDR190C	YDR485C
YFL007W	YGR285C
YER164W	YIL036W
YNL201C	YDR173C
YLR147C	YDL030W
YGR165W	YHL004W
YPL022W	YDR381W
YLR385C	YLR085C
YDR510W	YMR186W
YAL051W	YDR412W
YER144C	YHR073W
YOL115W	YDR381W
YHR118C	YBL002W
YML092C	YJL001W
YOR249C	YNL005C
YDR099W	YNR047W
YPR135W	YOL146W
YMR027W	YHR121W
YLR212C	YGL245W
YNL045W	YLR347C
YML127W	YHR008C
YJL098W	YDR388W
YPL001W	YNL273W
YML011C	YGL106W
YJL080C	YGR285C
YNL118C	YGL068W
YNL262W	YOR098C
YNL162W	YOL097C
YLR432W	YPL263C
YDL055C	YOL138C
YHR039C-B	YMR264W
YMR222C	YDR388W
YLR455W	YOR310C
YGL092W	YGL106W
YDR507C	YGL207W
YNL088W	YLR197W
YOR254C	YMR146C
YDR510W	YNL209W
YDL002C	YBR010W
YMR128W	YCR047C
YDR363W-A	YAL001C
YPL001W	YPR162C
YNL061W	YPL211W
YNL186W	YKR027W
YBR198C	YDR176W
YAR007C	YPL084W
YMR229C	YDR212W
YJL081C	YPL235W
YPL001W	YIL036W
YKL117W	YJL034W
YDR172W	YBR196C
YIL093C	YNL081C
YJL138C	YDR429C
YNL088W	YBL003C
YOR210W	YPR187W
YNL262W	YJR009C
YEL052W	YJL084C
YLR455W	YLR276C
YPR175W	YGR090W
YLR377C	YDL126C
YDR075W	YGR063C
YOR158W	YJR113C
YFR037C	YNL239W
YMR282C	YJL052W
YKL193C	YER030W
YKL173W	YDR473C
YLR435W	YGR126W
YGR162W	YJL138C
YLR249W	YBR142W
YJL168C	YOR355W
YGL112C	YGR252W
YKR092C	YOR310C
YLR455W	YLR197W
YGL173C	YDR381W
YDL074C	YPL055C
YAL021C	YKL054C
YMR123W	YDR174W
YPR105C	YPL048W
YBL103C	YBR010W
YPR070W	YNR010W
YIL162W	YDR155C
YNL288W	YBR155W
YBL056W	YPR160W
YJL168C	YNL136W
YIL075C	YGR232W
YBR248C	YER151C
YPR103W	YBR221C
YFR044C	YOL078W
YDR363W	YGL158W
YMR078C	YNL065W
YDL042C	YKR025W
YDR490C	YDR099W
YJL074C	YNL308C
YMR284W	YDL215C
YKR008W	YMR033W
YDR234W	YDR155C
YJR010C-A	YBR196C
YPL263C	YKR054C
YMR186W	YDL148C
YKL010C	YDR128W
YHR066W	YIL035C
YDR211W	YOR260W
YAR002W	YIL130W
YJL125C	YDR381W
YER078C	YDR226W
YML058W	YNL291C
YPR161C	YDL014W
YJL138C	YLR380W
YKL159C	YGL005C
YAL007C	YMR214W
YGL244W	YLR418C
YNR054C	YLR409C
YGL011C	YIL099W
YPL245W	YOR173W
YER023W	YPL193W
YOR209C	YDR363W-A
YPL037C	YNL112W
YLR435W	YJL093C
YKR010C	YGL106W
YJL115W	YIL035C
YDL103C	YBR269C
YPR074C	YKL182W
YAR007C	YDL022W
YFL013C	YGL150C
YMR259C	YDL215C
YPL022W	YNL138W
YKL117W	YJL047C
YNL168C	YPL037C
YDR427W	YCR014C
YMR282C	YDR381W
YER071C	YIR003W
YKR026C	YGR083C
YDR303C	YPR034W
YKL028W	YJR009C
YMR127C	YDR181C
YLR435W	YOR233W
YNL088W	YCL024W
YFR048W	YBR196C
YLR060W	YOR355W
YOR185C	YHR121W
YNL061W	YBR142W
YDR517W	YPR181C
YMR282C	YPL004C
YDR440W	YDR174W
YDR224C	YGL207W
YGR179C	YDR254W
YBL039C	YMR025W
YIL148W	YOR042W
YDR419W	YER027C
YKL126W	YHR102W
YNL031C	YBL003C
YHL007C	YDL148C
YJL024C	YBL003C
YDR225W	YKL188C
YJL033W	YLL034C
YCR082W	YGR252W
YPR161C	YDR293C
YIL075C	YLR180W
YDR478W	YDL038C
YML064C	YDL126C
YDR054C	YKR009C
YDR478W	YPL117C
YLL036C	YPL151C
YDL126C	YBR170C
YFR052W	YDL030W
YOR191W	YNL118C
YGL049C	YGL122C
YJL033W	YLR274W
YGL213C	YKL015W
YOR188W	YPL216W
YGL253W	YFR053C
YER070W	YBR072W
YCR008W	YGL106W
YMR259C	YFR024C
YJL050W	YIL125W
YOR290C	YPL216W
YBR058C	YMR028W
YGL122C	YHR029C
YGL035C	YBR010W
YLR435W	YBR291C
YLR131C	YFR053C
YJR017C	YOR151C
YPL138C	YKL018W
YLR398C	YDR381W
YMR093W	YDL176W
YEL001C	YMR186W
YLR231C	YGL253W
YER049W	YDR388W
YLR022C	YAR014C
YNL136W	YLR399C
YGL234W	YLR258W
YKL035W	YOR294W
YOL021C	YPR190C
YJR135C	YLR315W
YLR435W	YBR140C
YDR523C	YDR388W
YDL201W	YHL034C
YDR363W-A	YIL148W
YOL148C	YLR055C
YOR310C	YPR144C
YDR362C	YPL007C
YDR501W	YKR078W
YPL260W	YER048C
YPR161C	YGL120C
YFL023W	YDR303C
YNL312W	YLR347C
YML058W	YOL006C
